observation_date,GBRCPIALLMINMEI
2010-01-01,88.7999999999999972
2010-02-01,89.0000000000000000
2010-03-01,89.4000000000000057
2010-04-01,89.9000000000000057
2010-05-01,90.0999999999999943
2010-06-01,90.2000000000000028
2010-07-01,90.0000000000000000
2010-08-01,90.4000000000000057
2010-09-01,90.4000000000000057
2010-10-01,90.5999999999999943
2010-11-01,90.9000000000000057
2010-12-01,91.7000000000000028
2011-01-01,91.7999999999999972
2011-02-01,92.2999999999999972
2011-03-01,92.5999999999999943
2011-04-01,93.2999999999999972
2011-05-01,93.5000000000000000
2011-06-01,93.5000000000000000
2011-07-01,93.5000000000000000
2011-08-01,93.9000000000000057
2011-09-01,94.5000000000000000
2011-10-01,94.5000000000000000
2011-11-01,94.7000000000000028
2011-12-01,95.0000000000000000
2012-01-01,94.7000000000000028
2012-02-01,95.2000000000000028
2012-03-01,95.4000000000000057
2012-04-01,95.9000000000000057
2012-05-01,95.9000000000000057
2012-06-01,95.5999999999999943
2012-07-01,95.7000000000000028
2012-08-01,96.0999999999999943
2012-09-01,96.4000000000000057
2012-10-01,96.7999999999999972
2012-11-01,97.0000000000000000
2012-12-01,97.2999999999999972
2013-01-01,97.0000000000000000
2013-02-01,97.5000000000000000
2013-03-01,97.7999999999999972
2013-04-01,98.0000000000000000
2013-05-01,98.2000000000000028
2013-06-01,98.0000000000000000
2013-07-01,98.0000000000000000
2013-08-01,98.4000000000000057
2013-09-01,98.7000000000000028
2013-10-01,98.7999999999999972
2013-11-01,98.7999999999999972
2013-12-01,99.2000000000000028
2014-01-01,98.7000000000000028
2014-02-01,99.0999999999999943
2014-03-01,99.2999999999999972
2014-04-01,99.5999999999999943
2014-05-01,99.5999999999999943
2014-06-01,99.7999999999999972
2014-07-01,99.5999999999999943
2014-08-01,99.9000000000000057
2014-09-01,100.0000000000000000
2014-10-01,100.0999999999999943
2014-11-01,99.9000000000000057
2014-12-01,99.9000000000000057
2015-01-01,99.2000000000000028
2015-02-01,99.5000000000000000
2015-03-01,99.5999999999999943
2015-04-01,99.9000000000000057
2015-05-01,100.0999999999999943
2015-06-01,100.0999999999999943
2015-07-01,100.0000000000000000
2015-08-01,100.2999999999999972
2015-09-01,100.2000000000000028
2015-10-01,100.2999999999999972
2015-11-01,100.2999999999999972
2015-12-01,100.4000000000000057
2016-01-01,99.9000000000000057
2016-02-01,100.0999999999999943
2016-03-01,100.4000000000000057
2016-04-01,100.5999999999999943
2016-05-01,100.7999999999999972
2016-06-01,101.0000000000000000
2016-07-01,100.9000000000000057
2016-08-01,101.2000000000000028
2016-09-01,101.5000000000000000
2016-10-01,101.5999999999999943
2016-11-01,101.7999999999999972
2016-12-01,102.2000000000000028
2017-01-01,101.7999999999999972
2017-02-01,102.4000000000000057
2017-03-01,102.7000000000000028
2017-04-01,103.2000000000000028
2017-05-01,103.5000000000000000
2017-06-01,103.5000000000000000
2017-07-01,103.5000000000000000
2017-08-01,104.0000000000000000
2017-09-01,104.2999999999999972
2017-10-01,104.4000000000000057
2017-11-01,104.7000000000000028
2017-12-01,105.0000000000000000
2018-01-01,104.5000000000000000
2018-02-01,104.9000000000000057
2018-03-01,105.0999999999999943
2018-04-01,105.5000000000000000
2018-05-01,105.9000000000000057
2018-06-01,105.9000000000000057
2018-07-01,105.9000000000000057
2018-08-01,106.5000000000000000
2018-09-01,106.5999999999999943
2018-10-01,106.7000000000000028
2018-11-01,106.9000000000000057
2018-12-01,107.0999999999999943
2019-01-01,106.4000000000000057
2019-02-01,106.7999999999999972
2019-03-01,107.0000000000000000
2019-04-01,107.5999999999999943
2019-05-01,107.9000000000000057
2019-06-01,107.9000000000000057
2019-07-01,108.0000000000000000
2019-08-01,108.2999999999999972
2019-09-01,108.4000000000000057
2019-10-01,108.2999999999999972
2019-11-01,108.5000000000000000
2019-12-01,108.5000000000000000
2020-01-01,108.2999999999999972
2020-02-01,108.5999999999999943
2020-03-01,108.5999999999999943
2020-04-01,108.5999999999999943
2020-05-01,108.5999999999999943
2020-06-01,108.7999999999999972
2020-07-01,109.2000000000000028
2020-08-01,108.7999999999999972
2020-09-01,109.2000000000000028
2020-10-01,109.2000000000000028
2020-11-01,109.0999999999999943
2020-12-01,109.4000000000000057
