observation_date,JPNCPIALLMINMEI
2010-01-01,96.614909999999995
2010-02-01,96.614909999999995
2010-03-01,96.818529999999996
2010-04-01,96.818529999999996
2010-05-01,96.818529999999996
2010-06-01,96.614909999999995
2010-07-01,96.105879999999999
2010-08-01,96.207689999999999
2010-09-01,96.411299999999997
2010-10-01,96.716719999999995
2010-11-01,96.411299999999997
2010-12-01,96.207689999999999
2011-01-01,96.105879999999999
2011-02-01,96.105879999999999
2011-03-01,96.309489999999997
2011-04-01,96.411299999999997
2011-05-01,96.411299999999997
2011-06-01,96.309489999999997
2011-07-01,96.309489999999997
2011-08-01,96.411299999999997
2011-09-01,96.411299999999997
2011-10-01,96.513109999999998
2011-11-01,95.902270000000001
2011-12-01,96.004069999999999
2012-01-01,96.207689999999999
2012-02-01,96.411299999999997
2012-03-01,96.818529999999996
2012-04-01,96.920330000000007
2012-05-01,96.614909999999995
2012-06-01,96.105879999999999
2012-07-01,95.800460000000001
2012-08-01,96.004069999999999
2012-09-01,96.105879999999999
2012-10-01,96.105879999999999
2012-11-01,95.800460000000001
2012-12-01,95.800460000000001
2013-01-01,95.902270000000001
2013-02-01,95.698650000000001
2013-03-01,95.902270000000001
2013-04-01,96.207689999999999
2013-05-01,96.309489999999997
2013-06-01,96.309489999999997
2013-07-01,96.513109999999998
2013-08-01,96.818529999999996
2013-09-01,97.123949999999994
2013-10-01,97.225750000000005
2013-11-01,97.225750000000005
2013-12-01,97.327569999999994
2014-01-01,97.225750000000005
2014-02-01,97.225750000000005
2014-03-01,97.429370000000006
2014-04-01,99.465519999999998
2014-05-01,99.872739999999993
2014-06-01,99.770939999999996
2014-07-01,99.872739999999993
2014-08-01,100.076400000000007
2014-09-01,100.280000000000001
2014-10-01,99.974549999999994
2014-11-01,99.669129999999996
2014-12-01,99.669129999999996
2015-01-01,99.567319999999995
2015-02-01,99.363709999999998
2015-03-01,99.669129999999996
2015-04-01,100.178200000000004
2015-05-01,100.483599999999996
2015-06-01,100.178200000000004
2015-07-01,100.076400000000007
2015-08-01,100.178200000000004
2015-09-01,100.280000000000001
2015-10-01,100.280000000000001
2015-11-01,99.872739999999993
2015-12-01,99.872739999999993
2016-01-01,99.465519999999998
2016-02-01,99.567319999999995
2016-03-01,99.669129999999996
2016-04-01,99.872739999999993
2016-05-01,99.974549999999994
2016-06-01,99.872739999999993
2016-07-01,99.669129999999996
2016-08-01,99.669129999999996
2016-09-01,99.770939999999996
2016-10-01,100.381799999999998
2016-11-01,100.381799999999998
2016-12-01,100.178200000000004
2017-01-01,99.974549999999994
2017-02-01,99.872739999999993
2017-03-01,99.872739999999993
2017-04-01,100.280000000000001
2017-05-01,100.381799999999998
2017-06-01,100.280000000000001
2017-07-01,100.076400000000007
2017-08-01,100.280000000000001
2017-09-01,100.585400000000007
2017-10-01,100.585400000000007
2017-11-01,100.890799999999999
2017-12-01,101.196200000000005
2018-01-01,101.298000000000002
2018-02-01,101.298000000000002
2018-03-01,100.992599999999996
2018-04-01,100.890799999999999
2018-05-01,101.094399999999993
2018-06-01,100.992599999999996
2018-07-01,100.992599999999996
2018-08-01,101.603499999999997
2018-09-01,101.705299999999994
2018-10-01,102.010700000000000
2018-11-01,101.807100000000005
2018-12-01,101.501700000000000
2019-01-01,101.501700000000000
2019-02-01,101.501700000000000
2019-03-01,101.501700000000000
2019-04-01,101.807100000000005
2019-05-01,101.807100000000005
2019-06-01,101.603499999999997
2019-07-01,101.603499999999997
2019-08-01,101.807100000000005
2019-09-01,101.908900000000003
2019-10-01,102.214299999999994
2019-11-01,102.316100000000006
2019-12-01,102.316100000000006
2020-01-01,102.316100000000006
2020-02-01,102.112499999999997
2020-03-01,102.112499999999997
2020-04-01,102.010700000000000
2020-05-01,101.908900000000003
2020-06-01,101.705299999999994
2020-07-01,101.807100000000005
2020-08-01,101.908900000000003
2020-09-01,101.705299999999994
2020-10-01,101.603499999999997
2020-11-01,101.298000000000002
2020-12-01,101.094399999999993
